FORMAT OF THE SUBSETTED FILE
    
    ITEMS                      FORMAT   
     
 1 YEAR                          I4        
 2 DOY                           I4        
 3 Hour                          I3        
 4 Dst-index, nT                 I6        
 5 f10.7_index                   F6.1

2018  10  9    -5  68.1
2018  10 10    -6  68.1
2018  10 11    -5  68.1
2018  10 12    -3  68.1
2018  10 13    -3  68.1
2018  10 14    -7  68.1
2018  10 15   -12  68.1
2018  10 16   -12  68.1
2018  10 17   -11  68.1
2018  10 18    -9  68.1
2018  10 19    -7  68.1
2018  10 20    -5  68.1
2018  10 21    -4  68.1
2018  10 22    -5  68.1
2018  10 23    -6  68.1
2018  11  0    -6  68.5
2018  11  1    -5  68.5
2018  11  2    -4  68.5
2018  11  3    -3  68.5
2018  11  4    -5  68.5
2018  11  5    -4  68.5
2018  11  6    -2  68.5
2018  11  7    -3  68.5
2018  11  8    -4  68.5
2018  11  9    -3  68.5
2018  11 10    -1  68.5
2018  11 11     2  68.5
2018  11 12     1  68.5
2018  11 13    -2  68.5
2018  11 14     1  68.5
2018  11 15    -1  68.5
2018  11 16    -1  68.5
2018  11 17     2  68.5
2018  11 18     0  68.5
2018  11 19     0  68.5
2018  11 20    -1  68.5
2018  11 21    -1  68.5
2018  11 22    -1  68.5
2018  11 23    -1  68.5
2018  12  0    -1  68.6
2018  12  1    -4  68.6
2018  12  2    -5  68.6
2018  12  3    -3  68.6
2018  12  4    -3  68.6
2018  12  5    -3  68.6
2018  12  6    -4  68.6
2018  12  7    -4  68.6
2018  12  8    -3  68.6
2018  12  9    -3  68.6
2018  12 10    -3  68.6
2018  12 11    -6  68.6
2018  12 12    -6  68.6
2018  12 13    -3  68.6
2018  12 14    -2  68.6
2018  12 15    -1  68.6
2018  12 16    -1  68.6
2018  12 17     0  68.6
2018  12 18    -1  68.6
2018  12 19     1  68.6
2018  12 20     3  68.6
2018  12 21     3  68.6
2018  12 22     1  68.6
2018  12 23     0  68.6
2018  13  0    -1  68.5
2018  13  1     1  68.5
2018  13  2     3  68.5
2018  13  3     4  68.5
2018  13  4     4  68.5
2018  13  5     3  68.5
2018  13  6     1  68.5
2018  13  7     2  68.5
2018  13  8     1  68.5
2018  13  9    -2  68.5
2018  13 10    -2  68.5
2018  13 11     1  68.5
2018  13 12     2  68.5
2018  13 13    11  68.5
2018  13 14    11  68.5
2018  13 15    11  68.5
2018  13 16    12  68.5
2018  13 17    13  68.5
2018  13 18    11  68.5
2018  13 19     1  68.5
2018  13 20     6  68.5
2018  13 21     1  68.5
2018  13 22     8  68.5
2018  13 23    13  68.5
2018  14  0    13  68.2
2018  14  1     2  68.2
2018  14  2     4  68.2
2018  14  3    -2  68.2
2018  14  4    -6  68.2
2018  14  5   -10  68.2
2018  14  6   -16  68.2
2018  14  7   -20  68.2
2018  14  8   -21  68.2
2018  14  9   -19  68.2
2018  14 10   -17  68.2
2018  14 11   -15  68.2
2018  14 12   -16  68.2
2018  14 13   -13  68.2
2018  14 14   -15  68.2
2018  14 15   -13  68.2
2018  14 16   -13  68.2
2018  14 17   -13  68.2
2018  14 18   -13  68.2
2018  14 19   -11  68.2
2018  14 20   -10  68.2
2018  14 21    -8  68.2
2018  14 22    -4  68.2
2018  14 23    -1  68.2
2018  15  0    -5  67.9
2018  15  1    -7  67.9
2018  15  2    -7  67.9
2018  15  3    -5  67.9
2018  15  4    -9  67.9
2018  15  5   -15  67.9
2018  15  6   -19  67.9
2018  15  7   -18  67.9
2018  15  8   -13  67.9
2018  15  9   -10  67.9
2018  15 10   -12  67.9
2018  15 11   -10  67.9
2018  15 12    -7  67.9
2018  15 13    -3  67.9
2018  15 14    -5  67.9
2018  15 15    -8  67.9
2018  15 16    -6  67.9
2018  15 17    -5  67.9
2018  15 18    -7  67.9
2018  15 19    -7  67.9
2018  15 20    -6  67.9
2018  15 21    -5  67.9
2018  15 22    -3  67.9
2018  15 23    -2  67.9
2018  16  0    -2  68.8
2018  16  1    -1  68.8
2018  16  2     0  68.8
2018  16  3     1  68.8
2018  16  4     0  68.8
2018  16  5    -3  68.8
2018  16  6    -6  68.8
2018  16  7    -5  68.8
2018  16  8    -7  68.8
2018  16  9    -9  68.8
2018  16 10    -9  68.8
2018  16 11   -10  68.8
2018  16 12    -8  68.8
2018  16 13    -6  68.8
2018  16 14    -4  68.8
2018  16 15    -2  68.8
2018  16 16    -1  68.8
2018  16 17    -5  68.8
2018  16 18    -6  68.8
2018  16 19    -7  68.8
2018  16 20    -8  68.8
2018  16 21    -8  68.8
2018  16 22    -5  68.8
2018  16 23    -5  68.8
2018  17  0    -4  68.6
2018  17  1    -3  68.6
2018  17  2    -1  68.6
2018  17  3    -3  68.6
2018  17  4    -4  68.6
2018  17  5    -5  68.6
2018  17  6    -5  68.6
2018  17  7    -3  68.6
2018  17  8     0  68.6
2018  17  9     0  68.6
2018  17 10    -1  68.6
2018  17 11    -2  68.6
2018  17 12    -1  68.6
2018  17 13    -1  68.6
2018  17 14    -1  68.6
2018  17 15    -2  68.6
2018  17 16    -4  68.6
2018  17 17    -6  68.6
2018  17 18    -5  68.6
2018  17 19    -6  68.6
2018  17 20    -5  68.6
2018  17 21    -4  68.6
2018  17 22    -1  68.6
2018  17 23    -1  68.6
2018  18  0     1  68.8
2018  18  1     3  68.8
2018  18  2     1  68.8
2018  18  3     1  68.8
2018  18  4     2  68.8
2018  18  5     1  68.8
2018  18  6     0  68.8
2018  18  7     2  68.8
2018  18  8     3  68.8
2018  18  9     4  68.8
2018  18 10     6  68.8
2018  18 11     8  68.8
2018  18 12     9  68.8
2018  18 13     9  68.8
2018  18 14     8  68.8
2018  18 15     6  68.8
2018  18 16     5  68.8
2018  18 17     6  68.8
2018  18 18     8  68.8
2018  18 19     9  68.8
2018  18 20     7  68.8
2018  18 21     5  68.8
2018  18 22     3  68.8
2018  18 23     2  68.8
2018  19  0     4  68.5
2018  19  1     5  68.5
2018  19  2     3  68.5
2018  19  3     1  68.5
2018  19  4     0  68.5
2018  19  5    -6  68.5
2018  19  6   -15  68.5
2018  19  7   -22  68.5
2018  19  8   -27  68.5
2018  19  9   -27  68.5
2018  19 10   -17  68.5
2018  19 11    -7  68.5
2018  19 12    -2  68.5
2018  19 13     1  68.5
2018  19 14    -1  68.5
2018  19 15    -3  68.5
2018  19 16    -2  68.5
2018  19 17    -3  68.5
2018  19 18    -1  68.5
2018  19 19    -3  68.5
2018  19 20    -5  68.5
2018  19 21    -7  68.5
2018  19 22    -5  68.5
2018  19 23    -4  68.5
2018  20  0    -8  67.4
2018  20  1    -7  67.4
2018  20  2    -5  67.4
2018  20  3    -3  67.4
2018  20  4    -4  67.4
2018  20  5    -6  67.4
2018  20  6   -12  67.4
2018  20  7   -14  67.4
2018  20  8   -13  67.4
2018  20  9   -10  67.4
2018  20 10    -9  67.4
2018  20 11    -7  67.4
2018  20 12    -5  67.4
2018  20 13    -4  67.4
2018  20 14    -4  67.4
2018  20 15    -5  67.4
2018  20 16    -6  67.4
2018  20 17    -8  67.4
2018  20 18    -8  67.4
2018  20 19    -7  67.4
2018  20 20    -6  67.4
2018  20 21    -5  67.4
2018  20 22    -4  67.4
2018  20 23    -4  67.4
2018  21  0    -4  66.1
2018  21  1    -4  66.1
2018  21  2     1  66.1
2018  21  3     2  66.1
2018  21  4     3  66.1
2018  21  5     5  66.1
2018  21  6     5  66.1
2018  21  7     4  66.1
2018  21  8     0  66.1
2018  21  9    -3  66.1
2018  21 10    -1  66.1
2018  21 11     0  66.1
2018  21 12     1  66.1
2018  21 13    -4  66.1
2018  21 14   -15  66.1
2018  21 15   -14  66.1
2018  21 16   -10  66.1
2018  21 17    -6  66.1
2018  21 18    -5  66.1
2018  21 19    -7  66.1
2018  21 20    -8  66.1
2018  21 21    -7  66.1
2018  21 22    -2  66.1
2018  21 23     0  66.1
2018  22  0     0  67.9
2018  22  1     1  67.9
2018  22  2     4  67.9
2018  22  3    -1  67.9
