FORMAT OF THE SUBSETTED FILE
    
    ITEMS                      FORMAT   
     
 1 YEAR                          I4        
 2 DOY                           I4        
 3 Hour                          I3        
 4 Dst-index, nT                 I6        
 5 f10.7_index                   F6.1

2018  80 15    -8  68.8
2018  80 16    -7  68.8
2018  80 17    -8  68.8
2018  80 18    -9  68.8
2018  80 19    -9  68.8
2018  80 20   -10  68.8
2018  80 21    -8  68.8
2018  80 22    -9  68.8
2018  80 23   -11  68.8
2018  81  0   -13  68.0
2018  81  1   -13  68.0
2018  81  2   -11  68.0
2018  81  3    -9  68.0
2018  81  4    -7  68.0
2018  81  5    -6  68.0
2018  81  6    -8  68.0
2018  81  7    -9  68.0
2018  81  8    -8  68.0
2018  81  9    -7  68.0
2018  81 10    -5  68.0
2018  81 11    -1  68.0
2018  81 12     0  68.0
2018  81 13     0  68.0
2018  81 14     0  68.0
2018  81 15    -3  68.0
2018  81 16     0  68.0
2018  81 17     5  68.0
2018  81 18     5  68.0
2018  81 19    -2  68.0
2018  81 20   -17  68.0
2018  81 21   -27  68.0
2018  81 22   -28  68.0
2018  81 23   -23  68.0
2018  82  0   -21  67.7
2018  82  1   -22  67.7
2018  82  2   -21  67.7
2018  82  3   -15  67.7
2018  82  4   -17  67.7
2018  82  5   -15  67.7
2018  82  6   -11  67.7
2018  82  7    -9  67.7
2018  82  8    -7  67.7
2018  82  9   -14  67.7
2018  82 10   -22  67.7
2018  82 11   -18  67.7
2018  82 12   -14  67.7
2018  82 13    -9  67.7
2018  82 14    -5  67.7
2018  82 15    -4  67.7
2018  82 16    -9  67.7
2018  82 17   -10  67.7
2018  82 18   -11  67.7
2018  82 19    -7  67.7
2018  82 20    -9  67.7
2018  82 21   -19  67.7
2018  82 22   -24  67.7
2018  82 23   -19  67.7
2018  83  0   -21  67.2
2018  83  1   -21  67.2
2018  83  2   -23  67.2
2018  83  3   -18  67.2
2018  83  4   -14  67.2
2018  83  5    -8  67.2
2018  83  6    -7  67.2
2018  83  7    -7  67.2
2018  83  8    -9  67.2
2018  83  9   -14  67.2
2018  83 10   -14  67.2
2018  83 11   -10  67.2
2018  83 12    -6  67.2
2018  83 13    -6  67.2
2018  83 14    -5  67.2
2018  83 15   -10  67.2
2018  83 16   -13  67.2
2018  83 17   -10  67.2
2018  83 18   -11  67.2
2018  83 19   -15  67.2
2018  83 20   -18  67.2
2018  83 21   -23  67.2
2018  83 22   -27  67.2
2018  83 23   -24  67.2
2018  84  0   -25  68.0
2018  84  1   -22  68.0
2018  84  2   -15  68.0
2018  84  3   -15  68.0
2018  84  4   -19  68.0
2018  84  5   -19  68.0
2018  84  6   -16  68.0
2018  84  7   -16  68.0
2018  84  8   -22  68.0
2018  84  9   -23  68.0
2018  84 10   -15  68.0
2018  84 11   -12  68.0
2018  84 12    -8  68.0
2018  84 13   -10  68.0
2018  84 14   -16  68.0
2018  84 15   -19  68.0
2018  84 16   -21  68.0
2018  84 17   -18  68.0
2018  84 18   -10  68.0
2018  84 19    -7  68.0
2018  84 20    -9  68.0
2018  84 21   -15  68.0
2018  84 22   -14  68.0
2018  84 23   -15  68.0
2018  85  0   -12  67.5
2018  85  1   -14  67.5
2018  85  2   -19  67.5
2018  85  3   -21  67.5
2018  85  4   -20  67.5
2018  85  5   -20  67.5
2018  85  6   -17  67.5
2018  85  7   -13  67.5
2018  85  8   -11  67.5
2018  85  9   -16  67.5
2018  85 10   -19  67.5
2018  85 11   -19  67.5
2018  85 12   -18  67.5
2018  85 13   -19  67.5
2018  85 14   -20  67.5
2018  85 15   -21  67.5
2018  85 16   -19  67.5
2018  85 17   -21  67.5
2018  85 18   -20  67.5
2018  85 19   -18  67.5
2018  85 20   -19  67.5
2018  85 21   -17  67.5
2018  85 22   -18  67.5
2018  85 23   -18  67.5
2018  86  0   -19  68.0
2018  86  1   -18  68.0
2018  86  2   -15  68.0
2018  86  3   -13  68.0
2018  86  4   -16  68.0
2018  86  5   -12  68.0
2018  86  6   -12  68.0
2018  86  7   -12  68.0
2018  86  8   -10  68.0
2018  86  9   -11  68.0
2018  86 10    -9  68.0
2018  86 11    -5  68.0
2018  86 12    -3  68.0
2018  86 13    -8  68.0
2018  86 14   -12  68.0
2018  86 15   -16  68.0
2018  86 16   -15  68.0
2018  86 17   -15  68.0
2018  86 18   -14  68.0
2018  86 19   -13  68.0
2018  86 20   -13  68.0
2018  86 21   -15  68.0
2018  86 22   -12  68.0
2018  86 23   -12  68.0
2018  87  0   -12  68.3
2018  87  1   -12  68.3
2018  87  2   -13  68.3
2018  87  3   -12  68.3
2018  87  4   -12  68.3
2018  87  5   -15  68.3
2018  87  6   -14  68.3
2018  87  7   -13  68.3
2018  87  8   -12  68.3
2018  87  9    -9  68.3
2018  87 10   -10  68.3
2018  87 11    -9  68.3
2018  87 12    -9  68.3
2018  87 13    -9  68.3
2018  87 14    -9  68.3
2018  87 15   -11  68.3
2018  87 16    -9  68.3
2018  87 17    -8  68.3
2018  87 18    -5  68.3
2018  87 19    -5  68.3
2018  87 20    -3  68.3
2018  87 21    -1  68.3
2018  87 22    -2  68.3
2018  87 23    -1  68.3
2018  88  0    -5  68.8
2018  88  1    -5  68.8
2018  88  2    -5  68.8
2018  88  3    -5  68.8
2018  88  4    -4  68.8
2018  88  5    -2  68.8
2018  88  6     0  68.8
2018  88  7     3  68.8
2018  88  8     7  68.8
2018  88  9    11  68.8
2018  88 10    10  68.8
2018  88 11    10  68.8
2018  88 12    13  68.8
2018  88 13    14  68.8
2018  88 14    16  68.8
2018  88 15    21  68.8
2018  88 16    15  68.8
2018  88 17     7  68.8
2018  88 18     1  68.8
2018  88 19    -3  68.8
2018  88 20    -4  68.8
2018  88 21    -5  68.8
2018  88 22    -4  68.8
2018  88 23    -2  68.8
2018  89  0     0  68.6
2018  89  1    -3  68.6
2018  89  2    -4  68.6
2018  89  3    -3  68.6
2018  89  4    -5  68.6
2018  89  5    -5  68.6
2018  89  6    -3  68.6
2018  89  7    -1  68.6
2018  89  8     0  68.6
2018  89  9     2  68.6
2018  89 10     4  68.6
2018  89 11     1  68.6
2018  89 12    -2  68.6
2018  89 13     5  68.6
2018  89 14     4  68.6
2018  89 15     3  68.6
2018  89 16     7  68.6
2018  89 17    10  68.6
2018  89 18    12  68.6
2018  89 19    11  68.6
2018  89 20    13  68.6
2018  89 21    12  68.6
2018  89 22    10  68.6
2018  89 23     9  68.6
2018  90  0     8  68.9
2018  90  1     2  68.9
2018  90  2    -2  68.9
2018  90  3    -3  68.9
2018  90  4     1  68.9
2018  90  5     0  68.9
2018  90  6     0  68.9
2018  90  7     0  68.9
2018  90  8     2  68.9
2018  90  9     3  68.9
2018  90 10     4  68.9
2018  90 11     4  68.9
2018  90 12     6  68.9
2018  90 13     4  68.9
2018  90 14     3  68.9
2018  90 15     1  68.9
2018  90 16    -2  68.9
2018  90 17    -1  68.9
2018  90 18     0  68.9
2018  90 19     1  68.9
2018  90 20     5  68.9
2018  90 21     4  68.9
2018  90 22     3  68.9
2018  90 23     4  68.9
2018  91  0     6  68.9
2018  91  1     5  68.9
2018  91  2     1  68.9
2018  91  3    -1  68.9
2018  91  4    -1  68.9
2018  91  5     2  68.9
2018  91  6     2  68.9
2018  91  7     2  68.9
2018  91  8     5  68.9
2018  91  9     0  68.9
2018  91 10    -6  68.9
2018  91 11    -4  68.9
2018  91 12     0  68.9
2018  91 13     1  68.9
2018  91 14     3  68.9
2018  91 15     2  68.9
2018  91 16     2  68.9
2018  91 17     4  68.9
2018  91 18     6  68.9
2018  91 19     8  68.9
2018  91 20     6  68.9
2018  91 21     4  68.9
2018  91 22     4  68.9
2018  91 23     3  68.9
2018  92  0    -1  68.4
2018  92  1    -6  68.4
2018  92  2    -5  68.4
2018  92  3    -6  68.4
2018  92  4    -4  68.4
2018  92  5     2  68.4
2018  92  6     5  68.4
2018  92  7     3  68.4
2018  92  8     3  68.4
2018  92  9     2  68.4
2018  92 10     0  68.4
2018  92 11     0  68.4
2018  92 12    -1  68.4
2018  92 13    -2  68.4
2018  92 14     1  68.4
2018  92 15     0  68.4
2018  92 16    -2  68.4
2018  92 17    -1  68.4
2018  92 18     0  68.4
2018  92 19    -1  68.4
2018  92 20    -3  68.4
2018  92 21    -1  68.4
2018  92 22    -2  68.4
2018  92 23    -3  68.4
2018  93  0    -6  67.8
2018  93  1   -12  67.8
2018  93  2   -15  67.8
2018  93  3   -12  67.8
2018  93  4    -6  67.8
2018  93  5    -6  67.8
2018  93  6    -3  67.8
2018  93  7    -7  67.8
2018  93  8    -3  67.8
2018  93  9    -1  67.8
2018  93 10    -4  67.8
2018  93 11    -1  67.8
2018  93 12    -2  67.8
2018  93 13    -2  67.8
2018  93 14    -3  67.8
2018  93 15    -5  67.8
2018  93 16    -4  67.8
2018  93 17    -1  67.8
2018  93 18     2  67.8
2018  93 19     4  67.8
2018  93 20     5  67.8
2018  93 21     9  67.8
2018  93 22     9  67.8
2018  93 23     7  67.8
2018  94  0     3  68.6
2018  94  1    -2  68.6
2018  94  2    -1  68.6
2018  94  3     0  68.6
2018  94  4     4  68.6
2018  94  5     9  68.6
2018  94  6    11  68.6
2018  94  7    12  68.6
2018  94  8    16  68.6
2018  94  9    16  68.6
2018  94 10     7  68.6
2018  94 11     2  68.6
2018  94 12    -1  68.6
2018  94 13     1  68.6
2018  94 14     2  68.6
2018  94 15     0  68.6
2018  94 16     2  68.6
2018  94 17     6  68.6
2018  94 18     6  68.6
2018  94 19     3  68.6
2018  94 20     5  68.6
2018  94 21    11  68.6
2018  94 22    15  68.6
2018  94 23    11  68.6
2018  95  0     5  66.4
2018  95  1    -4  66.4
2018  95  2    -3  66.4
2018  95  3    -1  66.4
2018  95  4     5  66.4
2018  95  5     6  66.4
2018  95  6     9  66.4
2018  95  7     8  66.4
2018  95  8     9  66.4
2018  95  9    10  66.4
2018  95 10     5  66.4
2018  95 11     3  66.4
2018  95 12     6  66.4
2018  95 13    10  66.4
2018  95 14    10  66.4
2018  95 15     7  66.4
2018  95 16     4  66.4
2018  95 17     8  66.4
2018  95 18     7  66.4
2018  95 19     9  66.4
2018  95 20     4  66.4
2018  95 21     6  66.4
2018  95 22     4  66.4
2018  95 23     2  66.4
2018  96  0    -2  67.4
2018  96  1    -6  67.4
2018  96  2    -9  67.4
2018  96  3   -11  67.4
2018  96  4    -7  67.4
2018  96  5    -1  67.4
2018  96  6     3  67.4
2018  96  7     5  67.4
2018  96  8     8  67.4
2018  96  9     6  67.4
2018  96 10     0  67.4
2018  96 11    -2  67.4
2018  96 12    -2  67.4
2018  96 13    -2  67.4
2018  96 14    -1  67.4
2018  96 15     0  67.4
2018  96 16    -3  67.4
2018  96 17    -3  67.4
2018  96 18    -5  67.4
2018  96 19    -3  67.4
2018  96 20     2  67.4
2018  96 21     5  67.4
2018  96 22     3  67.4
2018  96 23     4  67.4
2018  97  0     3  67.0
2018  97  1     1  67.0
2018  97  2     2  67.0
2018  97  3     3  67.0
2018  97  4     3  67.0
2018  97  5     8  67.0
2018  97  6    12  67.0
2018  97  7    12  67.0
2018  97  8    14  67.0
2018  97  9    14  67.0
2018  97 10     8  67.0
2018  97 11    10  67.0
2018  97 12    13  67.0
2018  97 13    16  67.0
2018  97 14    16  67.0
2018  97 15    13  67.0
2018  97 16    11  67.0
2018  97 17    12  67.0
2018  97 18    10  67.0
2018  97 19     9  67.0
2018  97 20    11  67.0
2018  97 21    10  67.0
2018  97 22     7  67.0
2018  97 23     5  67.0
2018  98  0     4  68.1
2018  98  1     2  68.1
2018  98  2     1  68.1
2018  98  3     0  68.1
2018  98  4     3  68.1
2018  98  5     7  68.1
2018  98  6     9  68.1
2018  98  7     9  68.1
2018  98  8    13  68.1
2018  98  9    14  68.1
2018  98 10     8  68.1
2018  98 11     6  68.1
2018  98 12     6  68.1
2018  98 13     7  68.1
2018  98 14    10  68.1
2018  98 15     9  68.1
2018  98 16     9  68.1
2018  98 17     8  68.1
2018  98 18     9  68.1
2018  98 19     5  68.1
2018  98 20     3  68.1
2018  98 21    -1  68.1
2018  98 22    -2  68.1
2018  98 23     0  68.1
2018  99  0     1  68.9
2018  99  1    -2  68.9
2018  99  2    -1  68.9
2018  99  3    -2  68.9
2018  99  4    -4  68.9
2018  99  5     0  68.9
2018  99  6    -2  68.9
2018  99  7    -2  68.9
2018  99  8     4  68.9
2018  99  9     1  68.9
2018  99 10     0  68.9
2018  99 11     0  68.9
2018  99 12    -1  68.9
2018  99 13     2  68.9
2018  99 14     4  68.9
2018  99 15     2  68.9
2018  99 16    -5  68.9
2018  99 17   -10  68.9
2018  99 18    -9  68.9
2018  99 19   -14  68.9
2018  99 20   -19  68.9
2018  99 21   -18  68.9
2018  99 22   -12  68.9
2018  99 23    -5  68.9
2018 100  0    -2  68.8
2018 100  1    -4  68.8
2018 100  2    -6  68.8
2018 100  3   -13  68.8
2018 100  4   -23  68.8
2018 100  5   -28  68.8
2018 100  6   -26  68.8
2018 100  7   -20  68.8
2018 100  8   -23  68.8
2018 100  9   -26  68.8
2018 100 10   -26  68.8
2018 100 11   -21  68.8
2018 100 12   -18  68.8
2018 100 13   -23  68.8
2018 100 14   -30  68.8
2018 100 15   -28  68.8
2018 100 16   -25  68.8
2018 100 17   -21  68.8
2018 100 18   -21  68.8
2018 100 19   -24  68.8
2018 100 20   -23  68.8
2018 100 21   -20  68.8
2018 100 22   -22  68.8
2018 100 23   -26  68.8
2018 101  0   -23  68.6
2018 101  1   -24  68.6
2018 101  2   -23  68.6
2018 101  3   -22  68.6
2018 101  4   -20  68.6
2018 101  5   -19  68.6
2018 101  6   -24  68.6
2018 101  7   -26  68.6
2018 101  8   -15  68.6
2018 101  9   -10  68.6
2018 101 10   -14  68.6
2018 101 11   -18  68.6
2018 101 12   -16  68.6
2018 101 13   -17  68.6
2018 101 14   -17  68.6
2018 101 15   -18  68.6
2018 101 16   -18  68.6
2018 101 17   -18  68.6
2018 101 18   -15  68.6
2018 101 19   -13  68.6
2018 101 20   -10  68.6
2018 101 21    -9  68.6
2018 101 22   -11  68.6
2018 101 23   -11  68.6
2018 102  0   -14  70.4
2018 102  1   -14  70.4
2018 102  2   -13  70.4
2018 102  3   -12  70.4
2018 102  4    -8  70.4
2018 102  5    -7  70.4
2018 102  6    -9  70.4
2018 102  7    -7  70.4
2018 102  8    -5  70.4
2018 102  9    -5  70.4
2018 102 10    -8  70.4
2018 102 11   -12  70.4
2018 102 12   -11  70.4
2018 102 13    -8  70.4
2018 102 14    -8  70.4
2018 102 15    -9  70.4
2018 102 16   -11  70.4
2018 102 17   -11  70.4
2018 102 18   -11  70.4
2018 102 19   -14  70.4
2018 102 20   -14  70.4
2018 102 21   -10  70.4
2018 102 22   -10  70.4
2018 102 23   -11  70.4
2018 103  0   -11  70.1
2018 103  1   -18  70.1
2018 103  2   -27  70.1
2018 103  3   -28  70.1
2018 103  4   -23  70.1
2018 103  5   -17  70.1
2018 103  6   -15  70.1
2018 103  7   -14  70.1
2018 103  8   -10  70.1
2018 103  9   -10  70.1
2018 103 10   -14  70.1
2018 103 11   -15  70.1
2018 103 12   -12  70.1
2018 103 13    -7  70.1
2018 103 14    -6  70.1
2018 103 15    -9  70.1
2018 103 16    -8  70.1
2018 103 17    -2  70.1
2018 103 18    -2  70.1
2018 103 19    -3  70.1
2018 103 20    -9  70.1
2018 103 21    -8  70.1
2018 103 22    -9  70.1
2018 103 23    -9  70.1
2018 104  0    -7  69.9
2018 104  1   -10  69.9
2018 104  2   -11  69.9
2018 104  3   -15  69.9
2018 104  4   -12  69.9
2018 104  5    -7  69.9
2018 104  6    -5  69.9
2018 104  7    -6  69.9
2018 104  8    -3  69.9
2018 104  9    -3  69.9
2018 104 10    -5  69.9
2018 104 11    -5  69.9
2018 104 12    -6  69.9
2018 104 13    -4  69.9
2018 104 14    -1  69.9
2018 104 15    -5  69.9
2018 104 16    -9  69.9
2018 104 17    -6  69.9
2018 104 18    -9  69.9
2018 104 19    -8  69.9
2018 104 20   -12  69.9
2018 104 21   -17  69.9
2018 104 22   -17  69.9
2018 104 23   -16  69.9
2018 105  0   -12  71.0
2018 105  1   -12  71.0
2018 105  2   -11  71.0
2018 105  3   -11  71.0
2018 105  4   -10  71.0
2018 105  5    -6  71.0
2018 105  6    -4  71.0
2018 105  7    -4  71.0
2018 105  8    -1  71.0
2018 105  9     2  71.0
2018 105 10    -1  71.0
2018 105 11    -8  71.0
2018 105 12   -12  71.0
2018 105 13   -12  71.0
2018 105 14    -8  71.0
2018 105 15   -10  71.0
2018 105 16   -10  71.0
2018 105 17    -8  71.0
2018 105 18    -9  71.0
2018 105 19    -8  71.0
2018 105 20    -8  71.0
2018 105 21    -6  71.0
2018 105 22    -5  71.0
2018 105 23    -6  71.0
2018 106  0   -11  69.7
2018 106  1   -14  69.7
2018 106  2   -13  69.7
2018 106  3   -10  69.7
2018 106  4    -8  69.7
2018 106  5    -5  69.7
2018 106  6    -4  69.7
2018 106  7    -5  69.7
2018 106  8    -4  69.7
2018 106  9    -3  69.7
2018 106 10    -6  69.7
2018 106 11    -7  69.7
2018 106 12    -8  69.7
2018 106 13    -7  69.7
2018 106 14    -7  69.7
2018 106 15    -7  69.7
2018 106 16    -7  69.7
2018 106 17    -5  69.7
2018 106 18    -5  69.7
2018 106 19    -4  69.7
2018 106 20    -2  69.7
2018 106 21     0  69.7
2018 106 22     0  69.7
2018 106 23    -1  69.7
2018 107  0    -2  69.8
2018 107  1    -4  69.8
2018 107  2    -4  69.8
2018 107  3    -1  69.8
2018 107  4     1  69.8
2018 107  5     0  69.8
2018 107  6    -2  69.8
2018 107  7    -2  69.8
2018 107  8     0  69.8
2018 107  9     4  69.8
2018 107 10     3  69.8
2018 107 11     1  69.8
2018 107 12     2  69.8
2018 107 13     4  69.8
2018 107 14     3  69.8
2018 107 15     2  69.8
2018 107 16     2  69.8
2018 107 17     4  69.8
2018 107 18     4  69.8
2018 107 19     1  69.8
2018 107 20     1  69.8
2018 107 21     3  69.8
2018 107 22     4  69.8
2018 107 23     5  69.8
2018 108  0     3  71.4
2018 108  1     1  71.4
2018 108  2     1  71.4
2018 108  3     1  71.4
2018 108  4     3  71.4
2018 108  5     3  71.4
2018 108  6     2  71.4
2018 108  7     1  71.4
2018 108  8     3  71.4
2018 108  9     3  71.4
2018 108 10    -1  71.4
2018 108 11    -1  71.4
2018 108 12    -1  71.4
2018 108 13    -1  71.4
2018 108 14     2  71.4
2018 108 15     2  71.4
2018 108 16     0  71.4
2018 108 17    -2  71.4
2018 108 18    -8  71.4
2018 108 19    -9  71.4
2018 108 20    -7  71.4
2018 108 21    -4  71.4
2018 108 22    -2  71.4
2018 108 23    -1  71.4
2018 109  0    -4  71.4
2018 109  1    -6  71.4
2018 109  2    -5  71.4
2018 109  3    -3  71.4
2018 109  4     0  71.4
2018 109  5     4  71.4
2018 109  6     7  71.4
2018 109  7     7  71.4
2018 109  8     8  71.4
2018 109  9     7  71.4
2018 109 10     3  71.4
2018 109 11     0  71.4
2018 109 12     1  71.4
2018 109 13     3  71.4
2018 109 14     5  71.4
2018 109 15     4  71.4
2018 109 16     1  71.4
2018 109 17     1  71.4
2018 109 18     1  71.4
2018 109 19     2  71.4
2018 109 20     6  71.4
2018 109 21     9  71.4
2018 109 22    11  71.4
2018 109 23    13  71.4
2018 110  0    24  73.7
2018 110  1    26  73.7
2018 110  2    19  73.7
2018 110  3    22  73.7
2018 110  4     1  73.7
2018 110  5   -19  73.7
2018 110  6   -37  73.7
2018 110  7   -33  73.7
2018 110  8   -48  73.7
2018 110  9   -66  73.7
2018 110 10   -40  73.7
2018 110 11   -35  73.7
2018 110 12   -47  73.7
2018 110 13   -48  73.7
2018 110 14   -46  73.7
2018 110 15   -52  73.7
2018 110 16   -55  73.7
2018 110 17   -57  73.7
2018 110 18   -58  73.7
2018 110 19   -51  73.7
2018 110 20   -44  73.7
2018 110 21   -47  73.7
2018 110 22   -43  73.7
2018 110 23   -38  73.7
2018 111  0   -38  77.5
2018 111  1   -39  77.5
2018 111  2   -37  77.5
2018 111  3   -36  77.5
2018 111  4   -32  77.5
2018 111  5   -26  77.5
2018 111  6   -22  77.5
2018 111  7   -26  77.5
2018 111  8   -25  77.5
2018 111  9   -25  77.5
2018 111 10   -27  77.5
2018 111 11   -23  77.5
2018 111 12   -23  77.5
2018 111 13   -25  77.5
2018 111 14   -32  77.5
2018 111 15   -35  77.5
2018 111 16   -35  77.5
2018 111 17   -34  77.5
2018 111 18   -33  77.5
2018 111 19   -34  77.5
2018 111 20   -31  77.5
2018 111 21   -26  77.5
2018 111 22   -24  77.5
2018 111 23   -24  77.5
2018 112  0   -23  76.5
2018 112  1   -24  76.5
2018 112  2   -23  76.5
2018 112  3   -22  76.5
2018 112  4   -22  76.5
2018 112  5   -20  76.5
2018 112  6   -19  76.5
2018 112  7   -20  76.5
2018 112  8   -16  76.5
2018 112  9   -16  76.5
2018 112 10   -20  76.5
2018 112 11   -17  76.5
2018 112 12   -18  76.5
2018 112 13   -20  76.5
2018 112 14   -21  76.5
2018 112 15   -22  76.5
2018 112 16   -21  76.5
2018 112 17   -21  76.5
2018 112 18   -19  76.5
2018 112 19   -20  76.5
2018 112 20   -19  76.5
2018 112 21   -22  76.5
2018 112 22   -21  76.5
2018 112 23   -22  76.5
2018 113  0   -21  74.7
2018 113  1   -22  74.7
2018 113  2   -20  74.7
2018 113  3   -21  74.7
2018 113  4   -21  74.7
2018 113  5   -18  74.7
2018 113  6   -13  74.7
2018 113  7    -9  74.7
2018 113  8    -8  74.7
2018 113  9   -11  74.7
2018 113 10   -17  74.7
2018 113 11   -14  74.7
2018 113 12   -13  74.7
2018 113 13   -12  74.7
2018 113 14   -15  74.7
2018 113 15   -19  74.7
2018 113 16   -21  74.7
2018 113 17   -22  74.7
2018 113 18   -22  74.7
2018 113 19   -23  74.7
2018 113 20   -25  74.7
2018 113 21   -26  74.7
2018 113 22   -25  74.7
2018 113 23   -23  74.7
2018 114  0   -22  73.7
2018 114  1   -23  73.7
2018 114  2   -21  73.7
2018 114  3   -20  73.7
2018 114  4   -18  73.7
2018 114  5   -13  73.7
2018 114  6    -9  73.7
2018 114  7   -10  73.7
2018 114  8    -7  73.7
2018 114  9    -7  73.7
2018 114 10   -10  73.7
2018 114 11    -9  73.7
2018 114 12    -9  73.7
2018 114 13   -12  73.7
2018 114 14   -10  73.7
2018 114 15   -10  73.7
2018 114 16    -8  73.7
2018 114 17    -4  73.7
2018 114 18    -3  73.7
2018 114 19    -4  73.7
2018 114 20    -4  73.7
2018 114 21    -7  73.7
2018 114 22    -9  73.7
2018 114 23    -9  73.7
2018 115  0    -9  71.6
2018 115  1   -16  71.6
2018 115  2   -20  71.6
2018 115  3   -22  71.6
2018 115  4   -17  71.6
2018 115  5   -15  71.6
2018 115  6   -12  71.6
2018 115  7   -12  71.6
2018 115  8    -9  71.6
2018 115  9   -10  71.6
2018 115 10   -13  71.6
2018 115 11   -13  71.6
2018 115 12   -13  71.6
2018 115 13   -12  71.6
2018 115 14   -12  71.6
2018 115 15   -13  71.6
2018 115 16   -12  71.6
2018 115 17   -10  71.6
2018 115 18    -9  71.6
2018 115 19    -8  71.6
2018 115 20    -9  71.6
2018 115 21   -11  71.6
2018 115 22   -10  71.6
2018 115 23   -12  71.6
2018 116  0   -16  70.3
2018 116  1   -19  70.3
2018 116  2   -15  70.3
2018 116  3   -12  70.3
2018 116  4   -12  70.3
2018 116  5    -5  70.3
2018 116  6     2  70.3
2018 116  7     6  70.3
2018 116  8     8  70.3
2018 116  9     5  70.3
2018 116 10     0  70.3
2018 116 11     3  70.3
2018 116 12     6  70.3
2018 116 13     6  70.3
2018 116 14     1  70.3
2018 116 15     0  70.3
2018 116 16     0  70.3
2018 116 17     2  70.3
2018 116 18     2  70.3
2018 116 19     2  70.3
2018 116 20     3  70.3
2018 116 21     1  70.3
2018 116 22     0  70.3
2018 116 23    -2  70.3
2018 117  0    -4  69.6
2018 117  1    -6  69.6
2018 117  2    -4  69.6
2018 117  3    -5  69.6
2018 117  4    -3  69.6
2018 117  5     0  69.6
2018 117  6     2  69.6
2018 117  7     1  69.6
2018 117  8     4  69.6
2018 117  9     6  69.6
2018 117 10     3  69.6
2018 117 11     8  69.6
2018 117 12     8  69.6
2018 117 13    12  69.6
2018 117 14    10  69.6
2018 117 15     5  69.6
2018 117 16    -1  69.6
2018 117 17     5  69.6
2018 117 18     6  69.6
2018 117 19     6  69.6
2018 117 20     3  69.6
2018 117 21     4  69.6
2018 117 22     2  69.6
2018 117 23    -1  69.6
2018 118  0     0  71.1
2018 118  1     2  71.1
2018 118  2     2  71.1
2018 118  3    -2  71.1
2018 118  4     0  71.1
2018 118  5     1  71.1
2018 118  6     3  71.1
2018 118  7     2  71.1
2018 118  8     4  71.1
2018 118  9     5  71.1
2018 118 10     1  71.1
2018 118 11     2  71.1
2018 118 12     1  71.1
2018 118 13     0  71.1
2018 118 14     0  71.1
2018 118 15     0  71.1
2018 118 16     2  71.1
2018 118 17     2  71.1
2018 118 18     3  71.1
2018 118 19     5  71.1
2018 118 20     4  71.1
2018 118 21     1  71.1
2018 118 22     0  71.1
2018 118 23    -1  71.1
2018 119  0    -3  72.2
2018 119  1    -3  72.2
2018 119  2    -1  72.2
2018 119  3     0  72.2
2018 119  4     1  72.2
2018 119  5     4  72.2
2018 119  6     5  72.2
2018 119  7     9  72.2
2018 119  8    10  72.2
2018 119  9     7  72.2
2018 119 10     3  72.2
2018 119 11     9  72.2
2018 119 12     9  72.2
2018 119 13     5  72.2
2018 119 14     4  72.2
2018 119 15     7  72.2
2018 119 16     6  72.2
2018 119 17     3  72.2
2018 119 18     4  72.2
2018 119 19     4  72.2
2018 119 20     2  72.2
2018 119 21    -2  72.2
2018 119 22    -4  72.2
2018 119 23    -3  72.2
2018 120  0    -1  71.3
2018 120  1     4  71.3
2018 120  2     6  71.3
2018 120  3     1  71.3
2018 120  4     3  71.3
2018 120  5     6  71.3
2018 120  6     8  71.3
2018 120  7     9  71.3
2018 120  8     9  71.3
2018 120  9     8  71.3
2018 120 10     5  71.3
2018 120 11     6  71.3
2018 120 12     7  71.3
2018 120 13     7  71.3
2018 120 14     6  71.3
2018 120 15     3  71.3
2018 120 16     4  71.3
2018 120 17     4  71.3
2018 120 18     2  71.3
2018 120 19     1  71.3
2018 120 20    -2  71.3
2018 120 21    -5  71.3
2018 120 22    -6  71.3
2018 120 23    -7  71.3
2018 121  0    -7  69.5
2018 121  1    -5  69.5
2018 121  2    -4  69.5
2018 121  3    -4  69.5
2018 121  4    -2  69.5
2018 121  5     0  69.5
2018 121  6     1  69.5
2018 121  7     1  69.5
2018 121  8     1  69.5
2018 121  9     4  69.5
2018 121 10     3  69.5
2018 121 11     2  69.5
2018 121 12     1  69.5
2018 121 13     2  69.5
2018 121 14     3  69.5
2018 121 15     3  69.5
2018 121 16     4  69.5
2018 121 17     2  69.5
2018 121 18     0  69.5
2018 121 19    -2  69.5
2018 121 20    -2  69.5
2018 121 21    -1  69.5
2018 121 22     3  69.5
2018 121 23     4  69.5
2018 122  0     4  68.1
2018 122  1     4  68.1
2018 122  2     4  68.1
2018 122  3     3  68.1
2018 122  4     1  68.1
2018 122  5    -1  68.1
2018 122  6     1  68.1
2018 122  7     1  68.1
2018 122  8    -1  68.1
2018 122  9    -3  68.1
2018 122 10    -5  68.1
2018 122 11    -2  68.1
2018 122 12    -2  68.1
2018 122 13     3  68.1
2018 122 14     4  68.1
2018 122 15     2  68.1
2018 122 16     0  68.1
2018 122 17     0  68.1
2018 122 18    -3  68.1
2018 122 19    -2  68.1
2018 122 20     0  68.1
2018 122 21    -1  68.1
2018 122 22    -1  68.1
2018 122 23     0  68.1
2018 123  0     0  67.6
2018 123  1     1  67.6
